Date,Country,SKU,Category,Retailer,Channel,Units_Sold,Net_Sales,Price_per_Unit,Promo_Flag,Stockout_Flag,Weather_Index,Holiday_Flag,Currency
2024-01-01,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,3,7.75,2.58,0,0,0.167,0,EUR
2024-01-01,France,FR-BEV-05,Beverages,Carrefour,Modern Trade,3,3.7,1.23,0,0,0.167,0,EUR
2024-01-01,France,FR-BEV-02,Beverages,Carrefour,Modern Trade,3,3.33,1.11,0,0,0.167,0,EUR
2024-01-01,France,FR-BIS-02,Biscuits & Snacks,Intermarché,Modern Trade,3,5.59,1.86,0,0,0.167,0,EUR
2024-01-01,France,FR-DAI-03,Dairy,Leclerc,Modern Trade,7,13.21,1.89,0,0,0.167,0,EUR
2024-01-01,France,FR-BEV-04,Beverages,Auchan,E-Commerce,2,2.41,1.2,0,0,0.167,0,EUR
2024-01-01,France,FR-BEV-03,Beverages,Carrefour,Modern Trade,6,8.33,1.39,0,0,0.167,0,EUR
2024-01-01,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,1,1.91,1.91,0,0,0.167,0,EUR
2024-01-01,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,1,4.21,4.21,0,0,0.167,0,EUR
2024-01-01,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,0,0.0,3.72,0,0,0.167,0,EUR
2024-01-02,France,FR-DRY-05,Dry Grocery,Auchan,E-Commerce,3,8.17,2.72,0,0,0.295,0,EUR
2024-01-02,France,FR-BEV-05,Beverages,Leclerc,Modern Trade,6,6.91,1.15,0,0,0.295,0,EUR
2024-01-02,France,FR-BEV-02,Beverages,Auchan,E-Commerce,7,9.4,1.34,0,0,0.295,0,EUR
2024-01-02,France,FR-BIS-02,Biscuits & Snacks,Auchan,E-Commerce,3,5.42,1.81,0,0,0.295,0,EUR
2024-01-02,France,FR-DAI-03,Dairy,Carrefour,Modern Trade,4,7.03,1.76,0,0,0.295,0,EUR
2024-01-02,France,FR-BEV-04,Beverages,Intermarché,Modern Trade,1,1.31,1.31,0,0,0.295,0,EUR
2024-01-02,France,FR-BEV-03,Beverages,Auchan,E-Commerce,7,9.76,1.39,0,0,0.295,0,EUR
2024-01-02,France,FR-DAI-05,Dairy,Auchan,E-Commerce,2,3.32,1.66,0,0,0.295,0,EUR
2024-01-02,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,2,9.47,4.73,0,0,0.295,0,EUR
2024-01-02,France,FR-BAB-04,Baby Food,Leclerc,Modern Trade,2,8.38,4.19,0,0,0.295,0,EUR
2024-01-03,France,FR-DRY-05,Dry Grocery,Carrefour,Modern Trade,3,8.51,2.84,1,0,0.129,0,EUR
2024-01-03,France,FR-BEV-05,Beverages,Intermarché,Modern Trade,6,7.64,1.27,0,0,0.129,0,EUR
2024-01-03,France,FR-BEV-02,Beverages,Carrefour,Modern Trade,5,7.15,1.43,0,0,0.129,0,EUR
2024-01-03,France,FR-BIS-02,Biscuits & Snacks,Intermarché,Modern Trade,6,12.95,2.16,1,0,0.129,0,EUR
2024-01-03,France,FR-DAI-03,Dairy,Leclerc,Modern Trade,4,6.84,1.71,0,0,0.129,0,EUR
2024-01-03,France,FR-BEV-04,Beverages,Carrefour,Modern Trade,5,7.11,1.42,0,0,0.129,0,EUR
2024-01-03,France,FR-BEV-03,Beverages,Intermarché,Modern Trade,11,11.98,1.09,0,0,0.129,0,EUR
2024-01-03,France,FR-DAI-05,Dairy,Carrefour,Modern Trade,6,11.29,1.88,0,0,0.129,0,EUR
2024-01-03,France,FR-BAB-01,Baby Food,Leclerc,Modern Trade,3,11.92,3.97,0,0,0.129,0,EUR
2024-01-03,France,FR-BAB-04,Baby Food,Carrefour,Modern Trade,3,11.62,3.87,0,0,0.129,0,EUR
2024-01-04,France,FR-DRY-05,Dry Grocery,Leclerc,Modern Trade,3,8.34,2.78,0,0,0.17,0,EUR
2024-01-04,France,FR-BEV-05,Beverages,Leclerc,Modern Trade,5,6.65,1.33,0,0,0.17,0,EUR
2024-01-04,France,FR-BEV-02,Beverages,Carrefour,Modern Trade,6,8.04,1.34,0,0,0.17,0,EUR
2024-01-04,France,FR-BIS-02,Biscuits & Snacks,Intermarché,Modern Trade,3,6.89,2.3,0,0,0.17,0,EUR
2024-01-04,France,FR-DAI-03,Dairy,Auchan,E-Commerce,2,3.64,1.82,0,0,0.17,0,EUR
2024-01-04,France,FR-BEV-04,Beverages,Carrefour,Modern Trade,6,8.0,1.33,0,0,0.17,0,EUR
2024-01-04,France,FR-BEV-03,Beverages,Leclerc,Modern Trade,4,5.34,1.33,0,0,0.17,0,EUR
2024-01-04,France,FR-DAI-05,Dairy,Intermarché,Modern Trade,3,5.11,1.7,0,0,0.17,0,EUR
2024-01-04,France,FR-BAB-01,Baby Food,Auchan,E-Commerce,2,7.22,3.61,0,0,0.17,0,EUR
